aqi_date_loc,time_updated,o3,pm10,pm25
"5,Providence,RI",2022-11-07 21:00:00,13,4,12
"1,Jacksonville,FL",2022-11-07 21:00:00,17,17,31
"2,Jacksonville,FL",2022-11-07 21:00:00,17,14,24
"3,Jacksonville,FL",2022-11-07 21:00:00,18,9,28
"4,Jacksonville,FL",2022-11-07 21:00:00,12,4,11
"5,Jacksonville,FL",2022-11-07 21:00:00,9,5,15
"1,Salt Lake City,UT",2022-11-07 19:00:00,9,8,21
"2,Salt Lake City,UT",2022-11-07 19:00:00,9,6,17
"3,Salt Lake City,UT",2022-11-07 19:00:00,8,11,32
"4,Salt Lake City,UT",2022-11-07 19:00:00,6,23,66
"5,Salt Lake City,UT",2022-11-07 19:00:00,7,32,89
"1,Nashville,TN",2022-11-06 22:00:00,11,14,47
"2,Nashville,TN",2022-11-06 22:00:00,5,17,55
"3,Nashville,TN",2022-11-06 22:00:00,10,9,24
"4,Nashville,TN",2022-11-06 22:00:00,11,11,27
"1,Richmond,VA",2022-11-07 20:00:00,12,5,13
"2,Richmond,VA",2022-11-07 20:00:00,11,9,21
"3,Richmond,VA",2022-11-07 20:00:00,10,10,17
"4,Richmond,VA",2022-11-07 20:00:00,10,7,15
"5,Richmond,VA",2022-11-07 20:00:00,10,2,6
na,na,na,na,na
"1,Raleigh,NC",2022-11-07 21:00:00,14,5,16
"2,Raleigh,NC",2022-11-07 21:00:00,13,8,11
"3,Raleigh,NC",2022-11-07 21:00:00,13,10,13
"4,Raleigh,NC",2022-11-07 21:00:00,10,4,10
"5,Raleigh,NC",2022-11-07 21:00:00,10,3,12
"1,New Orleans,LA",2022-11-07 19:00:00,6,18,46
"2,New Orleans,LA",2022-11-07 19:00:00,13,12,41
"3,New Orleans,LA",2022-11-07 19:00:00,12,12,32
"4,New Orleans,LA",2022-11-07 19:00:00,10,12,35
"5,New Orleans,LA",2022-11-07 19:00:00,11,6,18
"1,Louisville,KY",2022-11-07 21:00:00,12,7,20
"2,Louisville,KY",2022-11-07 21:00:00,4,15,46
"3,Louisville,KY",2022-11-07 21:00:00,6,14,49
"4,Louisville,KY",2022-11-07 21:00:00,5,11,35
"5,Louisville,KY",2022-11-07 21:00:00,13,2,5
"1,Oklahoma City,OK",2022-11-07 20:00:00,7,4,15
"2,Oklahoma City,OK",2022-11-07 20:00:00,13,11,35
"3,Oklahoma City,OK",2022-11-07 20:00:00,12,6,18
"4,Oklahoma City,OK",2022-11-07 20:00:00,14,2,4
"5,Oklahoma City,OK",2022-11-07 20:00:00,15,1,3
"1,Bridgeport,CT",2022-11-07 21:00:00,13,2,4
"2,Bridgeport,CT",2022-11-07 21:00:00,13,5,11
"3,Bridgeport,CT",2022-11-07 21:00:00,8,17,39
"4,Bridgeport,CT",2022-11-07 21:00:00,7,24,48
"5,Bridgeport,CT",2022-11-07 21:00:00,13,3,10
"1,Buffalo,NY",2022-11-07 21:00:00,11,3,6
"2,Buffalo,NY",2022-11-07 21:00:00,11,4,12
"3,Buffalo,NY",2022-11-07 21:00:00,14,5,17
"4,Buffalo,NY",2022-11-07 21:00:00,11,6,18
"5,Buffalo,NY",2022-11-07 21:00:00,8,5,18
"1,Fort Worth,TX",2022-11-07 19:00:00,6,10,31
"2,Fort Worth,TX",2022-11-07 19:00:00,10,14,38
"3,Fort Worth,TX",2022-11-07 19:00:00,12,8,25
"4,Fort Worth,TX",2022-11-07 19:00:00,13,3,7
"5,Fort Worth,TX",2022-11-07 19:00:00,16,2,3
"1,Hartford,CT",2022-11-07 21:00:00,13,2,4
"2,Hartford,CT",2022-11-07 21:00:00,9,6,17
"3,Hartford,CT",2022-11-07 21:00:00,8,18,44
"4,Hartford,CT",2022-11-07 21:00:00,9,15,33
"5,Hartford,CT",2022-11-07 21:00:00,13,3,8
"1,Tucson,AZ",2022-11-07 19:00:00,7,13,32
"2,Tucson,AZ",2022-11-07 19:00:00,10,13,25
"3,Tucson,AZ",2022-11-07 19:00:00,12,15,24
"4,Tucson,AZ",2022-11-07 19:00:00,9,23,49
"5,Tucson,AZ",2022-11-07 19:00:00,7,24,51
"1,Omaha,NE",2022-11-07 20:00:00,11,5,19
"2,Omaha,NE",2022-11-07 20:00:00,12,4,15
"3,Omaha,NE",2022-11-07 20:00:00,13,5,15
"4,Omaha,NE",2022-11-07 20:00:00,14,1,3
"5,Omaha,NE",2022-11-07 20:00:00,15,3,10
"1,El Paso,TX",2022-11-07 18:00:00,4,53,75
"2,El Paso,TX",2022-11-07 18:00:00,7,47,74
"3,El Paso,TX",2022-11-07 18:00:00,17,14,14
"4,El Paso,TX",2022-11-07 18:00:00,13,20,23
"5,El Paso,TX",2022-11-07 18:00:00,10,22,29
"1,Honolulu,HI",2022-11-07 16:00:00,12,17,24
"2,Honolulu,HI",2022-11-07 16:00:00,15,11,12
"3,Honolulu,HI",2022-11-07 16:00:00,17,9,11
"4,Honolulu,HI",2022-11-07 16:00:00,17,9,13
"5,Honolulu,HI",2022-11-07 16:00:00,20,10,12
"1,McAllen,TX",2022-11-07 20:00:00,11,12,29
"2,McAllen,TX",2022-11-07 20:00:00,11,16,28
"3,McAllen,TX",2022-11-07 20:00:00,12,11,24
