avg_coord,x_y_grid_pt,city_state,current_temp,wind,description,avg_dni,avg_ghi,avg_lat_tilt
-20.95915,"17, 66","Toledo,OH",39.0,8 mph,Mostly Clear,NaN,NaN,NaN
-20.95915,"17, 66","Toledo,OH",39.0,8 mph,Mostly Clear,NaN,NaN,NaN
-20.95915,"65, 13","Howard,OH",56.0,9 mph,Sunny,NaN,NaN,NaN
-20.95915,"65, 13","Howard,OH",56.0,9 mph,Sunny,NaN,NaN,NaN
-16.783100000000005,"28, 27","Staten Island,NY",45.0,13 mph,Mostly Clear,NaN,NaN,NaN
-42.18470000000001,"155, 32","Long Beach,CA",55.0,10 to 15 mph,Rain Showers then Rain,NaN,NaN,NaN
-26.55435,"70, 17","Port St. Lucie,FL",72.0,10 mph,Slight Chance Rain Showers,NaN,NaN,NaN
-31.962150000000005,"76, 123","Denton,TX",67.0,5 to 10 mph,Chance Showers And Thunderstorms,NaN,NaN,NaN
-40.1493,"43, 106","Reno,NV",28.0,5 mph,Light Snow,NaN,NaN,NaN
-18.30455,"105, 37","Harrisburg,PA",42.0,6 mph,Mostly Clear,NaN,NaN,NaN
-28.816000000000003,"79, 71","Little Rock,AR",59.0,5 to 10 mph,Patchy Drizzle,NaN,NaN,NaN
-42.2131,"92, 104","Oakland,CA",46.0,13 to 20 mph,Showers And Thunderstorms,NaN,NaN,NaN
-21.46185,"63, 64","Durham,NC",51.0,7 to 10 mph,Clear,NaN,NaN,NaN
-22.0791,"14, 64","Winston-Salem,NC",51.0,10 mph,Mostly Clear,NaN,NaN,NaN
-41.25,"97, 52","Indio,CA",54.0,5 to 10 mph,Slight Chance Rain Showers then Chance Light Rain,NaN,NaN,NaN
-25.09155,"26, 8","Chattanooga,TN",61.0,5 mph,Partly Cloudy,NaN,NaN,NaN
-34.88295000000001,"140, 90","Spokane,WA",18.0,6 mph,Partly Cloudy,NaN,NaN,NaN
-16.55145,"51, 98","Syracuse,NY",38.0,9 mph,Partly Cloudy,NaN,NaN,NaN
-18.12955,"126, 29","Lancaster,PA",41.0,7 mph,Mostly Clear,NaN,NaN,NaN
-32.212599999999995,"76, 100","Arlington,TX",67.0,5 mph,Slight Chance Showers And Thunderstorms then Mostly Cloudy,NaN,NaN,NaN
-41.6672,"41, 39","Stockton,CA",49.0,7 to 18 mph,Rain,NaN,NaN,NaN
-16.113050000000005,"59, 14","Poughkeepsie,NY",39.0,8 mph,Clear,NaN,NaN,NaN
-24.353150000000003,"29, 29","Augusta,GA",64.0,5 to 9 mph,Partly Cloudy,NaN,NaN,NaN
-36.31525,"131, 84","Boise,ID",32.0,8 mph,Mostly Cloudy,NaN,NaN,NaN
-42.4926,"121, 56","Oxnard,CA",53.0,10 to 15 mph,Rain Showers then Rain,NaN,NaN,NaN
-42.4926,"79, 94","Moss Beach,CA",45.0,17 to 21 mph,Showers And Thunderstorms,NaN,NaN,NaN
-17.13025,"78, 26","Scranton,PA",38.0,6 mph,Partly Cloudy,NaN,NaN,NaN
-41.6827,"49, 22","Modesto,CA",49.0,7 to 17 mph,Rain,NaN,NaN,NaN
-19.7735,"120, 50","Youngstown,OH",35.0,2 to 8 mph,Partly Cloudy,NaN,NaN,NaN
-19.7735,"48, 76","Bay View,MI",48.0,10 mph,Mostly Sunny,NaN,NaN,NaN
-21.86565,"29, 65","Greensboro,NC",51.0,8 to 12 mph,Mostly Clear,NaN,NaN,NaN
-34.82475,"112, 30","Corpus Christi,TX",72.0,6 to 9 mph,Partly Cloudy then Slight Chance Rain Showers,NaN,NaN,NaN
-20.33435,"40, 63","Flint,MI",32.0,2 mph,Mostly Clear,NaN,NaN,NaN
-20.922950000000004,"78, 37","Lansing,MI",33.0,5 mph,Mostly Clear,NaN,NaN,NaN
-20.72785,"42, 28","Ann Arbor,MI",34.0,5 mph,Partly Cloudy,NaN,NaN,NaN
-39.51235,"124, 89","Henderson,NV",52.0,15 to 18 mph,Partly Cloudy,NaN,NaN,NaN
-25.9712,"60, 40","Huntsville,AL",61.0,0 mph,Mostly Clear,NaN,NaN,NaN
-28.718950000000003,"48, 66","Mobile,AL",66.0,0 to 5 mph,Mostly Clear,NaN,NaN,NaN
-32.2589,"62, 97","Fort Collins,CO",32.0,6 mph,Mostly Cloudy,NaN,NaN,NaN
-42.03945,"148, 61","Santa Clarita,CA",48.0,15 mph,Rain Showers then Rain,NaN,NaN,NaN
-24.07815,"113, 70","St. Paul,MN",33.0,5 to 10 mph,Partly Cloudy,NaN,NaN,NaN
-41.90845,"108, 110","Antioch,CA",51.0,10 to 18 mph,Rain Showers,NaN,NaN,NaN
-26.94945,"89, 103","Lakeland,FL",69.0,8 mph,Partly Cloudy,NaN,NaN,NaN
-17.27025,"61, 89","Trenton,NJ",44.0,10 mph,Mostly Clear,NaN,NaN,NaN
-27.9349,"56, 39","Lincoln,NE",44.0,12 mph,Mostly Cloudy,NaN,NaN,NaN
-31.84925,"90, 115","Plano,TX",67.0,5 to 10 mph,Slight Chance Showers And Thunderstorms then Mostly Cloudy,NaN,NaN,NaN
-42.0483,"40, 59","Irvine,CA",56.0,5 to 15 mph,Rain Showers Likely then Light Rain,NaN,NaN,NaN
-16.724,"26, 34","Newark,NJ",45.0,13 mph,Mostly Clear,NaN,NaN,NaN
-22.29645,"28, 62","South Bend,IN",34.0,5 mph,Partly Cloudy,NaN,NaN,NaN
-22.851050000000004,"58, 94","Round Lake Beach,IL",37.0,5 to 10 mph,Partly Cloudy,NaN,NaN,NaN
-42.1932,"60, 8","Chula Vista,CA",56.0,5 to 15 mph,Chance Rain Showers then Light Rain Likely,NaN,NaN,NaN
-39.5305,"83, 39","Eugene,OR",34.0,6 mph,Mostly Cloudy then Areas Of Frost,NaN,NaN,NaN
-20.2801,"97, 34","Canton,OH",35.0,5 to 9 mph,Partly Cloudy,NaN,NaN,NaN
-34.16095,"47, 32","Lubbock,TX",57.0,10 mph,Cloudy then Patchy Drizzle,NaN,NaN,NaN
-17.793349999999997,"20, 88","Reading,PA",43.0,10 mph,Mostly Clear,NaN,NaN,NaN
-26.84495,"99, 102","Winter Haven,FL",69.0,7 mph,Partly Cloudy,NaN,NaN,NaN
-39.05075000000001,"95, 78","Salem,OR",34.0,1 to 6 mph,Mostly Cloudy then Areas Of Frost,NaN,NaN,NaN
-27.43605,"63, 89","St. Petersburg,FL",70.0,9 mph,Partly Cloudy,NaN,NaN,NaN
-30.911950000000004,"104, 93","Lafayette,LA",67.0,5 mph,Mostly Clear then Patchy Fog,NaN,NaN,NaN
-35.9623,"30, 25","Laredo,TX",71.0,8 to 13 mph,Mostly Cloudy,NaN,NaN,NaN
-16.676050000000004,"30, 34","Jersey City,NJ",45.0,12 to 15 mph,Mostly Clear,NaN,NaN,NaN
-22.62165,"125, 72","Concord,NC",55.0,9 mph,Mostly Clear,NaN,NaN,NaN
-26.18355,"36, 30","Columbus,GA",65.0,5 mph,Mostly Clear,NaN,NaN,NaN
-39.2845,"165, 48","Chandler,AZ",50.0,5 mph,Mostly Clear,NaN,NaN,NaN
-39.08895,"167, 66","Scottsdale,AZ",53.0,5 to 10 mph,Mostly Clear,NaN,NaN,NaN
-33.3271,"52, 28","Killeen,TX",65.0,5 mph,Partly Cloudy,NaN,NaN,NaN
-26.89875,"84, 86","Tallahassee,FL",65.0,0 to 5 mph,Clear,NaN,NaN,NaN
-24.43165,"46, 98","Peoria,IL",36.0,8 to 13 mph,Partly Cloudy,NaN,NaN,NaN
