lat_lon,latitude,longitude,city_state,time_updated,AQI,CO,H,NO2,Ozone,pm10,pm25
"40.64144,-74.20836",40.64144,-74.20836,"Union,MO",11/7/2022 23:00,27,2.3,30,4.7,1,na,27
"30.439722222222,-84.346388888889",30.43972222,-84.34638889,"Newton,NJ",11/7/2022 20:00,45,1,64,na,10.2,na,45
"40.743156,-73.585513",40.743156,-73.585513,"Garden City,ID",11/7/2022 23:00,22,1.5,41,7,18,na,22
"42.76138,-84.562867",42.76138,-84.562867,"Lansing,KS",11/5/2022 2:00,52,na,55,1,32.8,na,52
"40.7127837,-74.0059413",40.7127837,-74.0059413,"Hudson,FL",11/7/2022 22:00,18,4.8,24.3,16.6,98.1,na,18
"44.9536,-93.2581",44.9536,-93.2581,"Richfield,WI",11/7/2022 22:00,23,na,67.4,na,na,na,23
"45.2108,-93.6686",45.2108,-93.6686,"Otsego,MI",11/7/2022 22:00,20,na,71,na,30.4,na,20
"40.597988305117,-111.89417474947",40.59798831,-111.8941747,"Sandy,OR",11/7/2022 20:00,23,0.7,44,6.5,21.6,na,23
"38.400618,27.150843",38.400618,27.150843,"Smyrna,DE",11/8/2022 7:00,69,21.6,70.1,33.3,4.1,26,69
"5.384388,100.3896169",5.384388,100.3896169,"Georgetown,SC",11/8/2022 11:00,44,na,74,na,na,na,na
"32.6563574,-97.0885849",32.6563574,-97.0885849,"Arlington,TN",11/7/2022 22:00,2,na,94,14.6,2.4,na,na
"40.46218,-74.42944",40.46218,-74.42944,"Somerset,PA",11/7/2022 23:00,30,2.3,33.5,1.9,29.6,na,29
"39.1175,-94.6356",39.1175,-94.6356,"Evanston,WY",11/7/2022 22:00,20,na,32,na,20,15,18
"40.002734,-82.994404",40.002734,-82.994404,"Franklin,OH",5/25/2020 10:00,-,na,56.3,3.8,na,na,na
"-33.79425,150.9142",-33.79425,150.9142,"Seven Hills,OH",11/8/2022 14:00,24,1.2,46,1,24.1,4,2
"40.867985,-73.87808",40.867985,-73.87808,"Wakefield,VA",11/7/2022 22:00,25,0.9,48,15.2,28.9,na,25
"37.338202,-121.849892",37.338202,-121.849892,"Alum Rock,CA",11/7/2022 18:00,13,3.4,75,12.4,na,na,13
"19.42461,-99.119594",19.42461,-99.119594,"Mexico,MO",11/7/2022 22:00,11,3.4,59,19.5,11.2,41,13
"51.601203,-2.977281",51.601203,-2.977281,"Newport,TN",11/8/2022 3:00,13,na,93,1.4,26,9,13
"-37.9135475,144.998",-37.9135475,144.998,"Elwood,NY",11/8/2022 15:00,36,0.7,66.7,3.8,14.5,11,36
"41.8932669,12.4753855",41.8932669,12.4753855,"Roma,TX",11/6/2022 23:00,25,na,42.5,9.6,15.1,9,25
"32.329111,-90.182722",32.329111,-90.182722,"Jackson,OH",11/7/2022 22:00,52,1.2,89,na,16,20,52
"38.650259,-90.350463",38.650259,-90.350463,"Webster,TX",11/7/2022 22:00,10,na,55.6,na,na,na,10
"37.7064,-85.8517",37.7064,-85.8517,"Elizabethtown,PA",11/7/2022 23:00,20,na,28,na,21.6,na,20
"41.594427,-87.495044",41.594427,-87.495044,"Highland,IL",11/7/2022 22:00,26,na,73,na,na,na,26
"41.171398,-73.195297",41.171398,-73.195297,"Fairfield,IA",11/7/2022 23:00,15,na,45,na,na,na,15
"44.427783966,12.186494827",44.42778397,12.18649483,"Ravenna,OH",11/6/2022 23:00,65,0.1,94.4,26.6,21.2,15,65
"32.789561,-116.944222",32.789561,-116.944222,"Lamesa,TX",11/7/2022 19:00,18,1.8,90,na,18.4,4,10
"52.5200066,13.404954",52.5200066,13.404954,"Berlin,NH",2/22/2022 14:00,26,na,68,17.4,26,26,na
"42.9633599,-85.6680863",42.9633599,-85.6680863,"Grand Rapids,MN",11/7/2022 23:00,35,4.8,72,7.5,11.2,14,35
"32.690277,-114.614441",32.690277,-114.614441,"Arizona City,AZ",11/7/2022 20:00,32,na,21,na,9.8,32,17
"36.1797,-94.1167",36.1797,-94.1167,"Springdale,OH",11/7/2022 21:00,38,na,70.6,na,22.4,na,38
"44.348604,-96.807299",44.348604,-96.807299,"Brookings,OR",11/7/2022 22:00,16,na,57,na,12.8,16,10
"42.0603,-87.8631",42.0603,-87.8631,"Niles,MI",11/7/2022 22:00,22,na,73,na,17.6,na,22
"41.206402,-111.975197",41.206402,-111.975197,"Summit,IL",11/7/2022 21:00,16,1.5,71,12.1,16,na,12
"44.9594,-93.0356",44.9594,-93.0356,"Woodbury,NY",11/7/2022 22:00,5,na,60,na,na,na,5
"33.720192,-84.357056",33.720192,-84.357056,"Whitehall,MI",11/7/2022 22:00,42,na,61.5,na,25.6,na,42
"44.943114,-123.005934",44.943114,-123.005934,"Four Corners,TX",11/7/2022 20:00,13,na,99,na,na,na,13
"41.875,-90.177498",41.875,-90.177498,"Clinton,SC",11/7/2022 20:00,22,na,64,na,na,na,22
"36.1797,-94.1167",36.1797,-94.1167,"Shiloh,PA",11/7/2022 21:00,38,na,70.6,na,22.4,na,38
"43.770585907976,11.271415330415",43.77058591,11.27141533,"Florence,OR",11/6/2022 23:00,42,0.1,100,34.8,na,20,42
"39.8669,-88.9256",39.8669,-88.9256,"Decatur,IN",11/7/2022 22:00,34,na,70,na,15.2,na,34
"38.23158,-85.82675",38.23158,-85.82675,"New Albany,OH",11/7/2022 23:00,20,na,38,na,na,12,20
"53.48152,-2.237881",53.48152,-2.237881,"Manchester,VA",11/8/2022 3:00,25,na,83,3.2,24.8,3,7
"32.4069,-86.2564",32.4069,-86.2564,"Montgomery,OH",11/7/2022 22:00,34,na,85,na,na,na,34
"40.72102,-74.1928",40.72102,-74.1928,"Kearney,MO",9/26/2022 6:00,26,1.2,92.5,15.8,6.4,na,26
"45.496640911,-122.60287735",45.49664091,-122.6028774,"Oak Grove,SC",11/7/2022 17:00,24,1.2,94.5,3.6,23.8,na,9
"42.1406,-87.7994",42.1406,-87.7994,"Highland Park,MI",11/7/2022 22:00,22,na,77.7,na,21.6,na,19
"39.934635,-75.126126",39.934635,-75.126126,"Camden,AR",11/7/2022 23:00,33,1.2,26.6,3.8,32.8,na,2
"41.492191,-81.678552",41.492191,-81.678552,"Cleveland,TX",11/7/2022 23:00,21,1.2,68,1.9,20.8,20,na
"42.1406,-87.7994",42.1406,-87.7994,"Northbrook,OH",11/7/2022 22:00,22,na,77.7,na,21.6,na,19
"40.743156,-73.585513",40.743156,-73.585513,"Garden City,SC",11/7/2022 23:00,22,1.5,41,7,18,na,22
"-32.93118,151.7596",-32.93118,151.7596,"Newcastle,OK",11/8/2022 13:00,2,na,74,2.8,na,13,1
"-33.927546,18.482759",-33.927546,18.482759,"Lansdowne,PA",11/8/2022 6:00,24,8.4,90,5.4,na,23,24
"40.7127837,-74.0059413",40.7127837,-74.0059413,"Brooklyn,OH",11/7/2022 23:00,25,4.8,35,16.6,98.1,na,25
"5.384388,100.3896169",5.384388,100.3896169,"Georgetown,DE",11/8/2022 11:00,44,na,74,na,na,na,na
"40.125557,-85.652222",40.125557,-85.652222,"Anderson,CA",11/7/2022 23:00,42,na,48,na,18.4,na,42
"32.509789,-92.04605",32.509789,-92.04605,"Monroe,WI",11/4/2022 8:00,20,na,93,na,20,na,na
"43.443833,-80.503806",43.443833,-80.503806,"Waterloo,IL",11/7/2022 23:00,14,na,69.5,2.8,13.6,na,5
"41.171398,-73.195297",41.171398,-73.195297,"Fairfield,AL",11/7/2022 23:00,15,na,45,na,na,na,15
"39.12886,-84.50404",39.12886,-84.50404,"Covington,LA",11/7/2022 23:00,45,1.2,29,23.3,11.2,32,45
"42.626748,-71.3617",42.626748,-71.3617,"Lowell,IN",1/3/2019 4:00,2,2,86.2,1.9,26.4,na,13
"48.856614,2.3522219",48.856614,2.3522219,"Paris,TN",11/8/2022 2:00,11,0.1,86,26.2,11.4,15,41
"43.52965,-79.862449",43.52965,-79.862449,"Milton,FL",11/7/2022 23:00,25,na,71.6,12.1,6.4,na,25
"35.65188,-87.0096",35.65188,-87.0096,"Columbia,IL",11/7/2022 22:00,17,na,95,na,na,na,17
"38.1825,-85.5744",38.1825,-85.5744,"Jefferson,LA",11/7/2022 23:00,21,na,32,na,22.4,16,21
"40.902886699711,-111.88449633822",40.9028867,-111.8844963,"Farmington,MI",11/7/2022 20:00,15,na,51,11.2,15.2,na,10
"-41.303,146.951",-41.303,146.951,"Exeter,CA",11/8/2022 14:00,29,na,38.8,na,na,29,13
"49.0578053,18.9198444",49.0578053,18.9198444,"Martin,TN",11/8/2022 4:00,72,7.1,94.4,6.9,na,26,72
"49.0520822,8.2527935",49.0520822,8.2527935,"Worth,IL",11/8/2022 5:00,21,na,95,na,na,21,na
"41.6175,-87.1992",41.6175,-87.1992,"Portage,WI",11/7/2022 22:00,21,na,83,na,20.8,na,11
"-41.29361375,174.77193174",-41.29361375,174.7719317,"Wellington,CO",11/8/2022 16:00,53,na,68.0075,na,na,13,53
"40.7127837,-74.0059413",40.7127837,-74.0059413,"Hudson,NY",11/7/2022 23:00,25,4.8,35,16.6,98.1,na,25
"39.758235,-84.197375",39.758235,-84.197375,"Dayton,TN",11/7/2022 23:00,34,na,38,na,na,na,34
"30.2175,-92.051389",30.2175,-92.051389,"Vermilion,OH",11/7/2022 22:00,36,na,88,na,4,18,36
"42.642253,-73.754576",42.642253,-73.754576,"Troy,IL",11/7/2022 23:00,22,2.3,58,na,2,na,22
"45.735351083786,4.829801108221",45.73535108,4.829801108,"Lyons,IL",11/2/2022 9:00,28,na,74.5,9.4,0.6,na,28
"35.65188,-87.0096",35.65188,-87.0096,"Columbia,PA",11/7/2022 22:00,17,na,95,na,na,na,17
"38.065,-84.5",38.065,-84.5,"Lexington,NE",11/7/2022 23:00,15,na,36,na,na,na,15
"40.7127837,-74.0059413",40.7127837,-74.0059413,"Union City,TN",11/7/2022 23:00,25,4.8,35,16.6,98.1,na,25
"50.260617,-119.270723",50.260617,-119.270723,"Vernon,TX",11/7/2022 19:00,31,na,77,4,8.5,19,31
"51.4529847075166,-0.944461432664066",51.45298471,-0.944461433,"Reading,OH",11/8/2022 1:00,25,na,91,5.3,25.2,15,5
"39.047911,-94.450513",39.047911,-94.450513,"Independence,OR",11/7/2022 22:00,17,2.3,40.2,11,na,na,17
"37.7769629210654,30.5471035478632",37.77696292,30.54710355,"Sparta,WI",11/8/2022 7:00,72,4.2,71.1,18.5,7.7,39,72
"41.492802,-112.0187",41.492802,-112.0187,"Box Elder,SD",11/7/2022 21:00,16,1.5,71,12.1,16,na,12
"48.441942,-123.363165",48.441942,-123.363165,"Victoria,MN",11/7/2022 20:00,17,0.1,90.6,0.4,11.3,na,17
"42.76138,-84.562867",42.76138,-84.562867,"Waverly,IA",11/5/2022 2:00,52,na,55,1,32.8,na,52
"49.4896322869577,0.100702489901362",49.48963229,0.10070249,"Havre,MT",11/8/2022 5:00,1,na,82,na,24,10,na
"48.2167394444444,16.3809180555556",48.21673944,16.38091806,"Vienna,WV",11/8/2022 5:00,63,0.1,87.7,14.2,na,22,63
"40.002734,-82.994404",40.002734,-82.994404,"Franklin,KY",5/25/2020 10:00,-,na,56.3,3.8,na,na,na
"41.9136,-87.7239",41.9136,-87.7239,"Lincoln Park,NJ",11/7/2022 21:00,22,na,65,na,na,na,22
"-42.855,147.315",-42.855,147.315,"Hobart,WI",11/8/2022 14:00,4,na,45.7,na,na,4,5
"41.875,-90.177498",41.875,-90.177498,"Clinton,TN",11/7/2022 20:00,22,na,64,na,na,na,22
"27.965555555556,-82.230277777778",27.96555556,-82.23027778,"Brandon,SD",11/7/2022 23:00,18,2.5,89.5,1,10.6,19,18
"51.410039,-0.127523",51.410039,-0.127523,"Croydon,PA",11/8/2022 3:00,50,na,85,na,na,na,50
"37.936,-122.0262",37.936,-122.0262,"Pleasant Hill,IA",11/7/2022 20:00,22,2.3,74.4,1.9,22.4,na,9
"26.2262097,-98.291069",26.2262097,-98.291069,"Mission,KS",11/7/2022 22:00,17,na,87.2,na,16.8,na,5
"52.272257,-0.916605",52.272257,-0.916605,"Northampton,PA",11/8/2022 4:00,42,na,99,0.1,33.3,10,42
"40.002734,-82.994404",40.002734,-82.994404,"Franklin,NH",5/25/2020 10:00,-,na,56.3,3.8,na,na,na
"44.9594,-93.0356",44.9594,-93.0356,"Woodbury,NJ",11/7/2022 22:00,5,na,60,na,na,na,5
"36.5144,-87.3278",36.5144,-87.3278,"Clarksville,AR",11/7/2022 22:00,34,na,51,na,na,na,34
"39.055302,-76.878304",39.055302,-76.878304,"Scaggsville,MD",11/7/2022 23:00,12,2.3,37.5,20.2,12.1,na,na
"45.64336,-122.58737",45.64336,-122.58737,"Columbia City,IN",11/7/2022 22:00,9,na,79,na,na,na,9
"38.8577,-77.05922",38.8577,-77.05922,"Alexandria,KY",11/7/2022 23:00,20,0.1,27,1.5,15.1,11,20
"48.054315,-122.171529",48.054315,-122.171529,"Marysville,MI",11/7/2022 22:00,42,na,96.8,na,na,na,42
"35.638599,-77.358002",35.638599,-77.358002,"Greenville,MI",11/7/2022 23:00,30,na,88,na,na,na,30
"52.247064000036,-7.1516249996007",52.247064,-7.151625,"Waterford,CA",11/8/2022 3:00,56,na,90,0.2,34.3,23,56
"51.744806,-1.260278",51.744806,-1.260278,"Oxford,NC",11/8/2022 4:00,25,na,87.5,0.2,na,11,25
"34.06653,-118.22676",34.06653,-118.22676,"Maywood,NJ",11/7/2022 20:00,22,2.3,91,4.8,22.4,5,11
"40.33950492678,-111.71347993778",40.33950493,-111.7134799,"Pleasant Grove,AL",11/7/2022 21:00,29,1.7,37,4.7,24.1,29,21
"39.472436,-84.394952",39.472436,-84.394952,"Middletown,PA",11/7/2022 22:00,-,na,38,na,na,na,na
"35.638599,-77.358002",35.638599,-77.358002,"Greenville,PA",11/7/2022 23:00,30,na,88,na,na,na,30
"42.626748,-71.3617",42.626748,-71.3617,"Lowell,AR",1/3/2019 4:00,2,2,86.2,1.9,26.4,na,13
"33.403055555556,-112.07527777778",33.40305556,-112.0752778,"Central City,KY",11/7/2022 21:00,65,13.4,48.5,4.7,19.2,65,64
"39.143197,-76.846192",39.143197,-76.846192,"Laurel,FL",11/7/2022 23:00,21,1.2,48,12.4,na,na,21
"35.041401,-78.953102",35.041401,-78.953102,"Fayetteville,TN",11/7/2022 23:00,5,na,81.5,na,na,1,5
"32.4611928,130.1948406",32.4611928,130.1948406,"Hondo,TX",11/8/2022 12:00,11,na,35.2,3.8,44,11,55
"25.8925176,-97.4938295",25.8925176,-97.4938295,"Brownsville,TN",na,-,na,94,na,na,na,na
"33.433349,-82.022217",33.433349,-82.022217,"Augusta,KS",11/7/2022 22:00,52,na,88,na,na,20,52
"30.46198,-91.17922",30.46198,-91.17922,"New Richmond,WI",11/7/2022 22:00,35,2.3,82,6.3,16.8,17,35
"39.10465,-94.57055",39.10465,-94.57055,"Greenwood,AR",11/7/2022 22:00,25,na,32,3.5,na,20,25
"-37.8073959,144.97",-37.8073959,144.97,"Brunswick,MD",11/8/2022 15:00,39,0.7,43.1,3.8,14.5,11,39
"37.28342,-79.88452",37.28342,-79.88452,"Roanoke,TX",11/7/2022 23:00,18,0.1,46,1.3,17.1,na,18
"40.72102,-74.1928",40.72102,-74.1928,"Bloomfield,NM",9/26/2022 6:00,26,1.2,92.5,15.8,6.4,na,26
"39.758235,-84.197375",39.758235,-84.197375,"Dayton,NV",11/7/2022 23:00,34,na,38,na,na,na,34
"38.288191,-85.741337",38.288191,-85.741337,"Louisville,OH",11/7/2022 23:00,27,na,38,na,na,na,27
"13.087840080261,80.278472900391",13.08784008,80.2784729,"Madras,OR",11/8/2022 9:00,183,na,91,na,na,na,183
"41.875,-90.177498",41.875,-90.177498,"Clinton,NC",11/7/2022 20:00,22,na,64,na,na,na,22
"39.303056,-94.376389",39.303056,-94.376389,"Liberty,TX",11/7/2022 22:00,6,na,34,na,30.4,na,6
"38.065,-84.5",38.065,-84.5,"Lexington,VA",11/7/2022 23:00,15,na,36,na,na,na,15
"34.8275,-89.9889",34.8275,-89.9889,"Hernando,FL",11/7/2022 22:00,41,na,96.3,na,na,na,41
"34.1992,-118.53275",34.1992,-118.53275,"Girard,OH",11/7/2022 20:00,25,3.4,87,12.6,9.6,na,25
"43.315111,-79.802639",43.315111,-79.802639,"Burlington,WA",11/7/2022 23:00,13,na,62,11.2,7.3,na,13
"33.859444,-118.200278",33.859444,-118.200278,"Lynwood,IL",11/7/2022 20:00,33,na,90.2,36,na,na,33
"-37.9135475,144.998",-37.9135475,144.998,"Elwood,IN",11/8/2022 15:00,36,0.7,66.7,3.8,14.5,11,36
"27.965555555556,-82.230277777778",27.96555556,-82.23027778,"Bloomingdale,TN",11/7/2022 23:00,18,2.5,89.5,1,10.6,19,18
"50.37167,-4.142361",50.37167,-4.142361,"Plymouth,MI",11/8/2022 4:00,57,na,95.5,1.4,33.3,31,57
"40.64144,-74.20836",40.64144,-74.20836,"Union,SC",11/7/2022 23:00,27,2.3,30,4.7,1,na,27
"41.9136,-87.7239",41.9136,-87.7239,"Edgewater,MD",11/7/2022 21:00,22,na,65,na,na,na,22
"50.37167,-4.142361",50.37167,-4.142361,"Plymouth,WI",11/8/2022 4:00,57,na,95.5,1.4,33.3,31,57
"43.0125274,-83.6874562",43.0125274,-83.6874562,"Burton,SC",11/7/2022 23:00,34,na,69,na,0.8,na,34
"41.875,-90.177498",41.875,-90.177498,"Clinton,OK",11/7/2022 20:00,22,na,64,na,na,na,22
"42.1406,-87.7994",42.1406,-87.7994,"Highland Park,TX",11/7/2022 22:00,22,na,77.7,na,21.6,na,19
"45.013611,-93.272049",45.013611,-93.272049,"Golden Valley,AZ",11/7/2022 22:00,6,na,64,na,na,6,na
"55.934357,-3.46919",55.934357,-3.46919,"Livingston,MT",11/8/2022 2:00,9,na,76,0.4,16,4,9
"49.1583,-122.9017",49.1583,-122.9017,"Delta,CO",11/7/2022 19:00,27,na,69,6.4,6,na,27
"39.8356,-75.3725",39.8356,-75.3725,"Chester,SC",11/7/2022 22:00,18,na,37,3.8,9.6,na,18
"39.838199,-104.94984",39.838199,-104.94984,"Derby,CO",11/7/2022 21:00,37,6.9,54.5,14.2,0.5,37,68
"41.206402,-111.975197",41.206402,-111.975197,"Summit,WA",11/7/2022 21:00,16,1.5,71,12.1,16,na,12
"41.875,-90.177498",41.875,-90.177498,"Clinton,MO",11/7/2022 20:00,22,na,64,na,na,na,22
"40.246992,-76.846988",40.246992,-76.846988,"Harrisburg,IL",11/7/2022 22:00,13,na,19,3.8,20,7,13
"39.047911,-94.450513",39.047911,-94.450513,"Independence,KS",11/7/2022 22:00,17,2.3,40.2,11,na,na,17
"45.496640911,-122.60287735",45.49664091,-122.6028774,"Oak Grove,MN",11/7/2022 17:00,24,1.2,94.5,3.6,23.8,na,9
"38.68329,-121.16444",38.68329,-121.16444,"Folsom,PA",11/7/2022 20:00,27,na,85.5,1.9,27.2,na,na
"53.378622,-1.478096",53.378622,-1.478096,"Sheffield,AL",11/8/2022 4:00,25,na,94,1.4,24.8,9,25
"37.793635,-122.263356",37.793635,-122.263356,"Oakland,TN",11/7/2022 20:00,21,2.3,73,7.7,na,na,21
"40.72698,-73.89312",40.72698,-73.89312,"Evergreen,CO",11/7/2022 23:00,25,na,34.3,na,na,na,25
"41.731201,-111.837502",41.731201,-111.837502,"Logan,WV",11/7/2022 21:00,16,1.5,71,12.1,16,na,12
"41.171398,-73.195297",41.171398,-73.195297,"Bridgeport,WV",11/7/2022 23:00,15,na,45,na,na,na,15
"37.864731,-122.302703",37.864731,-122.302703,"Berkeley,MO",11/7/2022 15:00,21,2.3,75,14.2,20.8,na,na
"34.06653,-118.22676",34.06653,-118.22676,"Riverdale,UT",11/7/2022 20:00,22,2.3,91,4.8,22.4,5,11
"39.12886,-84.50404",39.12886,-84.50404,"Covington,TN",11/7/2022 23:00,45,1.2,29,23.3,11.2,32,45
"40.002734,-82.994404",40.002734,-82.994404,"Franklin,PA",5/25/2020 10:00,-,na,56.3,3.8,na,na,na
"43.486917,-79.702278",43.486917,-79.702278,"Oakville,CT",11/7/2022 23:00,13,na,65,4.7,12.1,na,13
"39.934635,-75.126126",39.934635,-75.126126,"Wharton,TX",11/7/2022 23:00,33,1.2,26.6,3.8,32.8,na,2
"39.114399,-77.106903",39.114399,-77.106903,"Redlands,CO",11/7/2022 23:00,17,na,34.5,na,5.6,na,17
"39.41,-76.2967",39.41,-76.2967,"Edgewood,KY",11/7/2022 23:00,34,na,49.3,na,na,na,34
"47.1401,-122.3004",47.1401,-122.3004,"Graham,TX",11/24/2020 11:00,3,na,74.5,na,na,na,3
"38.23158,-85.82675",38.23158,-85.82675,"New Albany,MS",11/7/2022 23:00,20,na,38,na,na,12,20
"-37.8287277,145.1324",-37.8287277,145.1324,"Clayton,NJ",11/8/2022 13:00,26,1.5,39.9,4.7,25.6,15,12
"40.28308,-74.74264",40.28308,-74.74264,"Princeton,IN",11/7/2022 23:00,30,na,34.5,1.9,30.4,na,28
"39.114399,-77.106903",39.114399,-77.106903,"Olney,IL",11/7/2022 23:00,17,na,34.5,na,5.6,na,17
"36.7319,-119.5089",36.7319,-119.5089,"Sanger,TX",11/10/2020 9:00,36,na,59.5,na,na,na,36
"-33.682778,150.903611",-33.682778,150.903611,"Glenwood,IL",11/8/2022 14:00,23,1.2,46.3,1,23.3,16,9
"40.743156,-73.585513",40.743156,-73.585513,"Garden City,GA",11/7/2022 23:00,22,1.5,41,7,18,na,22
"35.638599,-77.358002",35.638599,-77.358002,"Greenville,RI",11/7/2022 23:00,30,na,88,na,na,na,30
"42.0603,-87.8631",42.0603,-87.8631,"Park Ridge,NJ",11/7/2022 22:00,22,na,73,na,17.6,na,22
"37.936,-122.0262",37.936,-122.0262,"Pleasant Hill,MO",11/7/2022 20:00,22,2.3,74.4,1.9,22.4,na,9
"39.0217,-84.4744",39.0217,-84.4744,"Mount Pleasant,IA",11/7/2022 23:00,23,na,37,na,1.6,na,23
"43.312152807423,-1.9809008637097",43.31215281,-1.980900864,"San Sebastián,PR",11/8/2022 3:00,17,0.1,38,9.6,na,9,17
"53.951889,-1.075861",53.951889,-1.075861,"York,SC",11/8/2022 4:00,17,3.7,84,1.9,28.4,12,17
"44.943114,-123.005934",44.943114,-123.005934,"Salem,UT",11/7/2022 20:00,13,na,99,na,na,na,13
"33.99952,-117.41595",33.99952,-117.41595,"Riverside,CT",11/7/2022 20:00,19,1.2,97.1,2.5,19.2,3,5
"39.02473,-77.48925",39.02473,-77.48925,"Farmville,VA",11/7/2022 22:00,20,0.1,35,1.5,15.5,12,20
"44.80353,-106.961763",44.80353,-106.961763,"Sheridan,OR",9/18/2018 7:00,16,na,41.7,9.3,4.8,16,5
"33.859444,-118.200278",33.859444,-118.200278,"Willowbrook,IL",11/7/2022 20:00,33,na,90.2,36,na,na,33
"37.256069,-93.299692",37.256069,-93.299692,"Springfield,FL",11/7/2022 22:00,17,na,62,na,31.2,17,6
"33.99952,-117.41595",33.99952,-117.41595,"Riverside,IL",11/7/2022 20:00,19,1.2,97.1,2.5,19.2,3,5
"42.9633599,-85.6680863",42.9633599,-85.6680863,"Wyoming,OH",11/7/2022 23:00,35,4.8,72,7.5,11.2,14,35
"47.18631,-122.45154",47.18631,-122.45154,"Lake Park,FL",11/7/2022 20:00,53,na,97,na,na,na,53
"40.002734,-82.994404",40.002734,-82.994404,"Franklin,VA",5/25/2020 10:00,-,na,56.3,3.8,na,na,na
"39.143197,-76.846192",39.143197,-76.846192,"Laurel,MT",11/7/2022 23:00,21,1.2,48,12.4,na,na,21
"35.8652,-78.8197",35.8652,-78.8197,"Morrisville,PA",11/7/2022 23:00,38,2.3,88,4.9,na,na,38
"30.135833333333,-81.633888888889",30.13583333,-81.63388889,"St. Johns,MI",11/7/2022 23:00,32,1.9,90.2,1,13.9,17,32
"40.739264,-73.817694",40.739264,-73.817694,"Terrace Heights,WA",11/7/2022 23:00,26,1.5,34.3,7,27.2,na,26
"43.653226,-79.3831843",43.653226,-79.3831843,"East York,PA",11/7/2022 23:00,25,2.3,66.6,11.2,7.3,na,25
"48.783150000042,9.1807305558523",48.78315,9.180730556,"Stuttgart,AR",11/8/2022 4:00,42,na,96,17.9,0.9,24,42
"-33.927546,18.482759",-33.927546,18.482759,"Lansdowne,MD",11/8/2022 6:00,24,8.4,90,5.4,na,23,24
"45.528501,-122.972398",45.528501,-122.972398,"Hillsboro,TX",11/7/2022 20:00,22,na,99,na,na,na,22
"53.48152,-2.237881",53.48152,-2.237881,"Middleton,ID",11/8/2022 4:00,26,na,79.2,2.8,26,10,25
"39.2787,-84.36612",39.2787,-84.36612,"Mason,MI",11/7/2022 23:00,25,na,37,na,na,na,25
"37.34849,-121.89494",37.34849,-121.89494,"Santa Clara,UT",11/7/2022 20:00,24,2.3,75,5.1,24.1,na,5
"41.206402,-111.975197",41.206402,-111.975197,"Ogden,NC",11/7/2022 21:00,16,1.5,71,12.1,16,na,12
"37.74306,-122.16994",37.74306,-122.16994,"Ashland,NJ",11/7/2022 20:00,22,3.4,80,7.2,22.4,na,13
"48.856614,2.3522219",48.856614,2.3522219,"Paris,IL",11/8/2022 2:00,11,0.1,86,26.2,11.4,15,41
"30.262347,-93.284906",30.262347,-93.284906,"Charlestown,IN",11/7/2022 22:00,43,na,94.8,8.6,15,23,43
"40.743156,-73.585513",40.743156,-73.585513,"Hempstead,TX",11/7/2022 23:00,22,1.5,41,7,18,na,22
"31.6675,-106.288",31.6675,-106.288,"Socorro,NM",11/7/2022 21:00,44,na,39,na,14.5,44,38
"36.0487,-115.05294",36.0487,-115.05294,"Midway City,CA",5/18/2021 5:00,24,0.1,25.7,8.1,15.5,24,24
"4.5725,-74.0836",4.5725,-74.0836,"Bogota,NJ",11/7/2022 23:00,30,4.3,70.82,5.4,2.5,13,30
"39.741667,-94.858333",39.741667,-94.858333,"St. Joseph,MI",11/7/2022 22:00,22,na,42,na,na,22,19
"42.325184,-71.05608",42.325184,-71.05608,"Quincy,WA",11/7/2022 22:00,29,2.3,37,6.5,28.9,na,17
"40.72102,-74.1928",40.72102,-74.1928,"Garrison,MD",9/26/2022 6:00,26,1.2,92.5,15.8,6.4,na,26
"43.52965,-79.862449",43.52965,-79.862449,"Milton,WA",11/7/2022 23:00,25,na,71.6,12.1,6.4,na,25
"44.044306,-79.48325",44.044306,-79.48325,"Aurora,MO",11/7/2022 23:00,13,na,79,1.9,12.1,na,13
"32.090457,-81.130378",32.090457,-81.130378,"Savannah,TN",11/7/2022 22:00,44,na,93,na,na,27,44
"16.4095395,120.5948075",16.4095395,120.5948075,"Trinidad,CO",10/28/2020 16:00,72,na,84.3,na,na,72,na
"40.33950492678,-111.71347993778",40.33950493,-111.7134799,"Lake City,SC",11/7/2022 21:00,29,1.7,37,4.7,24.1,29,21
"32.690277,-114.614441",32.690277,-114.614441,"Colorado City,AZ",11/7/2022 20:00,46,na,21,na,11.8,17,46
"45.496640911,-122.60287735",45.49664091,-122.6028774,"Oak Grove,MO",11/7/2022 17:00,24,1.2,94.5,3.6,23.8,na,9
"44.943114,-123.005934",44.943114,-123.005934,"Four Corners,MD",11/7/2022 20:00,13,na,99,na,na,na,13
"40.7127837,-74.0059413",40.7127837,-74.0059413,"Manhattan,IL",11/7/2022 23:00,25,4.8,35,16.6,98.1,na,25
"40.3097,-78.9158",40.3097,-78.9158,"Johnstown,NY",11/7/2022 22:00,15,3.4,52,1.9,30.4,11,15
"39.8356,-75.3725",39.8356,-75.3725,"Chester,IL",11/7/2022 22:00,18,na,37,3.8,9.6,na,18
"30.06717,-94.09093",30.06717,-94.09093,"Jefferson City,TN",na,-,na,98.5,na,na,na,na
"52.411563,-1.560228",52.411563,-1.560228,"Kenilworth,NJ",11/8/2022 4:00,33,na,92.6,2,32.8,10,25
