lat_lon,latitude,longitude,city_state,time_updated,AQI,CO,H,NO2,Ozone,pm10,pm25
"53.48152,-2.237881",53.48152,-2.237881,"Manchester,OK",11/8/2022 9:00,24,na,77,14.8,17.2,16,24
"51.149617,-1.438228",51.149617,-1.438228,"Andover,IA",11/8/2022 9:00,33,na,87,1,32.5,11,30
"43.4118,24.615006",43.4118,24.615006,"Plevna,KS",1/8/2020 7:00,51,0.1,54.7,16.9,na,51,na
"39.758235,-84.197375",39.758235,-84.197375,"Dayton,MT",11/8/2022 4:00,39,na,61,na,na,na,39
"39.758235,-84.197375",39.758235,-84.197375,"Day,FL",11/8/2022 4:00,39,na,61,na,na,na,39
"28.746111111111,-81.310555555556",28.74611111,-81.31055556,"Sanford,VA",11/7/2022 20:00,28,1.9,93.2,1.3,13.5,22,28
"39.159372,-86.504747",39.159372,-86.504747,"Bloomington,NE",11/8/2022 3:00,19,na,46,na,na,na,19
"30.426666666667,-86.666111111111",30.42666667,-86.66611111,"Wright,KS",6/20/2022 12:00,25,na,66,na,17.5,14,25
"46.193654,6.214178",46.193654,6.214178,"Geneva,GA",11/4/2022 3:00,-,na,84,1.3,1,na,7
"53.48152,-2.237881",53.48152,-2.237881,"Manchester,KS",11/8/2022 9:00,24,na,77,14.8,17.2,16,24
"40.002734,-82.994404",40.002734,-82.994404,"Columbus,IL",5/25/2020 10:00,-,na,56.3,3.8,na,na,na
"41.4014,-73.4447",41.4014,-73.4447,"Danbury,NE",11/8/2022 2:00,23,na,46,na,na,23,21
"41.8932669,12.4753855",41.8932669,12.4753855,"Rome,OH",11/6/2022 23:00,25,na,42.5,9.6,15.1,9,25
"39.2787,-84.36612",39.2787,-84.36612,"Mason,WI",11/8/2022 4:00,23,na,49,na,na,na,23
"38.53455,-121.7734",38.53455,-121.7734,"Dixon,WY",11/8/2022 1:00,16,na,87,3.2,16,na,2
"44.219722,-76.521111",44.219722,-76.521111,"Kingston,NV",11/8/2022 4:00,12,na,75,1.9,12.1,na,5
