aqi_key,lat_lon,latitude,longitude,city_state,time_updated,AQI,CO,H,NO2,Ozone,pm10,pm25
197,"40.72698,-73.89312",40.72698,-73.89312,"Corona,CA",11/7/2022 21:00,13,na,17.3,na,na,na,13
198,"29.171388888889,-82.094722222222",29.17138889,-82.09472222,"Ocala,FL",11/7/2022 20:00,20,na,74,na,12.6,na,20
199,"53.48152,-2.237881",53.48152,-2.237881,"Manchester,NH",11/8/2022 2:00,27,na,85,3.1,26.7,11,25
200,"39.7143,-105.1239",39.7143,-105.1239,"Lakewood,CO",11/4/2022 14:00,13,na,30,na,na,na,13
201,"30.262347,-93.284906",30.262347,-93.284906,"Lake Charles,LA",11/7/2022 20:00,36,na,94,4.8,15,16,36
202,"46.4846547,30.6964293",46.4846547,30.6964293,"Odessa,TX",3/6/2020 21:00,90,na,99.9,na,na,54,90
203,"32.6056,-83.597907",32.6056,-83.597907,"Warner Robins,GA",11/7/2022 20:00,39,na,82,na,na,16,39
204,"34.18198,-118.36304",34.18198,-118.36304,"Hollywood,FL",11/7/2022 18:00,21,na,93,2,20.8,na,4
205,"29.9229186,-93.9090282",29.9229186,-93.9090282,"Port Arthur,TX",11/7/2022 17:00,30,na,83,na,na,na,30
206,"32.805408,-83.543521",32.805408,-83.543521,"Macon,GA",3/10/2022 13:00,43,na,59,na,27.2,na,43
207,"29.7679707,-95.2205867",29.7679707,-95.2205867,"Pasadena,TX",11/7/2022 21:00,8,na,1,14.2,8,na,23
208,"41.7714,-88.1522",41.7714,-88.1522,"Naperville,IL",11/7/2022 20:00,56,na,69,na,na,na,56
209,"47.600863,-122.148397",47.600863,-122.148397,"Bellevue,WA",11/7/2022 20:00,6,na,89,na,na,na,6
210,"41.656944,-85.96833",41.656944,-85.96833,"Elkhart,IN",11/7/2022 21:00,25,na,79,na,na,na,25
211,"39.0242,-95.7114",39.0242,-95.7114,"Topeka,KS",11/7/2022 20:00,23,na,41,na,16.8,18,23
212,"41.526885,-88.116474",41.526885,-88.116474,"Joliet,IL",11/7/2022 20:00,52,na,59.3,na,na,na,52
213,"30.06717,-94.09093",30.06717,-94.09093,"Beaumont,TX",na,-,na,92.1,na,na,na,na
214,"37.28177,-120.43368",37.28177,-120.43368,"Merced,CA",11/7/2022 18:00,30,na,76,4.9,21.6,na,30
215,"32.690277,-114.614441",32.690277,-114.614441,"Yuma,AZ",11/7/2022 18:00,17,na,21,na,10.6,22,17
