aqi_key,lat_lon,latitude,longitude,city_state,time_updated,AQI,CO,H,NO2,Ozone,pm10,pm25
89,"43.07378,-89.43595",43.07378,-89.43595,"Madison,WI",11/7/2022 20:00,24,na,59,na,19.4,11,24
90,"40.246992,-76.846988",40.246992,-76.846988,"Harrisburg,PA",11/7/2022 20:00,16,na,18,8.4,20,11,16
91,"34.7561,-92.2758",34.7561,-92.2758,"Little Rock,AR",11/7/2022 20:00,24,na,77,na,19.2,na,24
92,"37.793635,-122.263356",37.793635,-122.263356,"Oakland,CA",11/7/2022 18:00,21,3.4,70,10.7,na,na,21
93,"35.9919,-78.8964",35.9919,-78.8964,"Durham,NC",11/7/2022 21:00,38,na,90.6,na,na,25,38
94,"36.1106,-80.2267",36.1106,-80.2267,"Winston-Salem,NC",11/7/2022 21:00,30,na,64,3.7,37.6,14,30
95,"26.27,-81.710833333333",26.27,-81.71083333,"Bonita Springs,FL",11/7/2022 20:00,35,na,48,na,13.5,15,35
96,"35.0508,-85.2931",35.0508,-85.2931,"Chattanooga,TN",11/7/2022 21:00,43,na,81,na,na,na,43
97,"47.69983,-117.42631",47.69983,-117.42631,"Spokane,WA",11/7/2022 20:00,35,na,89,na,na,na,35
98,"43.052351,-76.059185",43.052351,-76.059185,"Syracuse,NY",11/7/2022 21:00,23,na,55,na,17.6,na,23
99,"34.66959,-118.13068",34.66959,-118.13068,"Lancaster,PA",11/7/2022 18:00,27,na,62,1.9,27.2,4,9
100,"32.6563574,-97.0885849",32.6563574,-97.0885849,"Arlington,TX",11/7/2022 21:00,3,na,88,15.3,3.2,na,na
101,"37.95075,-121.26897",37.95075,-121.26897,"Stockton,CA",11/5/2021 10:00,42,2.4,55,6.5,16.8,15,42
102,"33.433349,-82.022217",33.433349,-82.022217,"Augusta,GA",11/7/2022 20:00,45,na,83,na,na,19,45
103,"43.618889,-116.213611",43.618889,-116.213611,"Boise,ID",10/26/2022 7:00,8,6.9,66.6,17.6,48.1,8,5
104,"34.25238,-119.14318",34.25238,-119.14318,"Oxnard,CA",11/7/2022 18:00,24,na,90,1.9,24.1,5,13
105,"41.4428,-75.6231",41.4428,-75.6231,"Scranton,PA",11/7/2022 20:00,15,3.4,38.5,4.7,28.9,14,15
106,"37.64217,-120.99421",37.64217,-120.99421,"Modesto,CA",11/7/2022 18:00,26,1.2,50,na,25.6,15,5
107,"44.044306,-79.48325",44.044306,-79.48325,"Aurora,CO",11/7/2022 20:00,17,na,72,2.8,12.8,na,17
108,"41.095938,-80.658467",41.095938,-80.658467,"Youngstown,OH",10/14/2021 12:00,48,na,68,na,na,na,48
109,"35.041401,-78.953102",35.041401,-78.953102,"Fayetteville,AR",11/7/2022 21:00,5,na,78,na,na,2,5
110,"33.83061,-117.9385",33.83061,-117.9385,"Anaheim,CA",11/7/2022 18:00,0,4.5,94,12.3,0.1,1,3
111,"34.51096,-117.32555",34.51096,-117.32555,"Victorville,CA",11/7/2022 18:00,19,na,75.5,3.8,19.2,9,9
112,"36.1092,-79.8011",36.1092,-79.8011,"Greensboro,NC",11/7/2022 20:00,11,na,87.5,na,na,11,9
113,"27.8118142,-97.4657005",27.8118142,-97.4657005,"Corpus Christi,TX",11/7/2022 19:00,19,na,97,na,na,na,19
114,"41.094965,-85.101816",41.094965,-85.101816,"Fort Wayne,IN",9/30/2021 8:00,27,na,47,na,15.2,na,27
115,"43.0125274,-83.6874562",43.0125274,-83.6874562,"Flint,MI",11/7/2022 21:00,34,na,64,na,0.8,na,34
116,"32.329111,-90.182722",32.329111,-90.182722,"Jackson,MS",11/7/2022 20:00,45,1.2,84.5,na,14.5,17,45
117,"14.307201385498,121.11041259766",14.30720139,121.1104126,"Santa Rosa,CA",10/6/2022 10:00,8,na,67,10.6,8.2,na,na
118,"42.76138,-84.562867",42.76138,-84.562867,"Lansing,MI",11/5/2022 2:00,52,na,55,1,32.8,na,52
119,"18.428388,-66.141657",18.428388,-66.141657,"San Juan,PR",11/7/2022 21:00,-,na,92.2,na,na,na,43
120,"38.065,-84.5",38.065,-84.5,"Lexington,KY",11/7/2022 21:00,16,na,35,na,na,na,16
121,"36.0487,-115.05294",36.0487,-115.05294,"Henderson,NV",5/18/2021 5:00,24,0.1,25.7,8.1,15.5,24,24
122,"34.6917,-86.591698",34.6917,-86.591698,"Huntsville,AL",11/7/2022 20:00,35,na,93,na,na,na,35
123,"30.7697,-88.0875",30.7697,-88.0875,"Mobile,AL",11/7/2022 20:00,29,na,69.2,na,na,na,29
124,"40.571281,-105.079974",40.571281,-105.079974,"Fort Collins,CO",11/7/2022 19:00,50,1.9,66,na,8,32,50
125,"35.6075,-82.5833",35.6075,-82.5833,"Asheville,NC",11/7/2022 21:00,13,na,86.5,na,na,na,13
126,"34.38337,-118.52839",34.38337,-118.52839,"Santa Clarita,CA",11/7/2022 18:00,22,0.1,91,4.6,21.6,na,14
127,"44.9594,-93.0356",44.9594,-93.0356,"St. Paul,MN",11/7/2022 20:00,21,na,60,na,na,na,21
128,"38.0112,-121.813",38.0112,-121.813,"Antioch,CA",11/5/2020 11:00,27,na,42.2,na,na,na,27
129,"28.028888888889,-81.972222222222",28.02888889,-81.97222222,"Lakeland,FL",11/7/2022 20:00,24,2.5,89.4,1,13,20,24
130,"40.28308,-74.74264",40.28308,-74.74264,"Trenton,NJ",11/7/2022 21:00,35,na,35,0.1,27.2,na,35
131,"40.812558,-96.675733",40.812558,-96.675733,"Lincoln,NE",11/7/2022 20:00,9,na,39.6,na,na,na,9
132,"61.1744921,-149.8344237",61.1744921,-149.8344237,"Anchorage,AK",11/7/2022 15:00,16,na,69.6,na,na,16,na
133,"55.614578,-4.666786",55.614578,-4.666786,"Irvine,CA",11/8/2022 0:00,6,na,86,0.9,na,6,23
134,"41.530011,-90.587611",41.530011,-90.587611,"Davenport,IA",11/7/2022 19:00,36,0.1,69.5,na,19.2,36,32
135,"42.267002,-89.08917",42.267002,-89.08917,"Rockford,IL",11/7/2022 20:00,37,na,52,na,na,na,37
136,"40.72102,-74.1928",40.72102,-74.1928,"Newark,NJ",9/26/2022 6:00,26,1.2,92.5,15.8,6.4,na,26
137,"41.6967,-86.2147",41.6967,-86.2147,"South Bend,IN",11/7/2022 21:00,35,na,82.5,1.1,18.4,na,35
138,"32.53626,-93.74891",32.53626,-93.74891,"Shreveport,LA",11/7/2022 20:00,55,na,83,na,6.4,15,55
139,"32.090457,-81.130378",32.090457,-81.130378,"Savannah,GA",11/7/2022 20:00,39,na,77,na,na,23,39
140,"44.0263,-123.08377",44.0263,-123.08377,"Eugene,OR",11/7/2022 18:00,9,na,80,na,na,na,9
141,"40.800797,-81.372853",40.800797,-81.372853,"Canton,OH",11/7/2022 21:00,26,na,52,na,na,na,26
142,"33.58553,-101.78698",33.58553,-101.78698,"Lubbock,TX",11/7/2022 19:00,7,na,73.6,na,na,na,7
143,"51.4529847075166,-0.944461432664066",51.45298471,-0.944461433,"Reading,PA",11/7/2022 23:00,24,na,90.6,5.3,23.6,11,9
144,"44.943114,-123.005934",44.943114,-123.005934,"Salem,OR",11/7/2022 18:00,7,na,99,na,na,na,7
145,"27.785833333333,-82.74",27.78583333,-82.74,"St. Petersburg,FL",9/27/2022 6:00,7,na,95,2.8,6.5,18,39
146,"30.2175,-92.051389",30.2175,-92.051389,"Lafayette,LA",11/7/2022 20:00,36,na,88,na,6.4,11,36
147,"-41.162,147.515",-41.162,147.515,"Scottsdale,AZ",11/8/2022 12:00,5,na,43,na,na,3,5
148,"30.439722222222,-84.346388888889",30.43972222,-84.34638889,"Tallahassee,FL",11/7/2022 20:00,45,1,60,na,10.2,na,45
149,"33.569166666667,-112.19138888889",33.56916667,-112.1913889,"Peoria,IL",11/7/2022 19:00,22,12.3,25,36.2,22.4,18,18
150,"39.7394,-75.5581",39.7394,-75.5581,"Wilmington,NC",11/7/2022 21:00,36,3.4,54,na,18.4,na,36
151,"32.4069,-86.2564",32.4069,-86.2564,"Montgomery,AL",11/7/2022 20:00,25,na,80,na,na,na,25
152,"46.21835,-119.20152",46.21835,-119.20152,"Kennewick,WA",11/7/2022 20:00,8,na,97,na,na,8,5
153,"36.33252,-119.29095",36.33252,-119.29095,"Visalia,CA",12/15/2021 9:00,30,na,79,6.5,15.2,7,30
154,"36.1397,-115.17565",36.1397,-115.17565,"Paradise,NV",5/18/2021 5:00,40,0.1,32.5,6.3,11.8,33,40
155,"53.951889,-1.075861",53.951889,-1.075861,"York,PA",11/8/2022 2:00,17,3.2,79.2,1.9,21,12,17
156,"38.0133,-87.5772",38.0133,-87.5772,"Evansville,IN",11/7/2022 20:00,23,na,37,3.8,23.3,22,22
157,"25.8925176,-97.4938295",25.8925176,-97.4938295,"Brownsville,TX",na,-,na,94,na,na,na,na
158,"30.39,-89.0497",30.39,-89.0497,"Gulfport,MS",11/7/2022 20:00,40,na,94,na,na,na,40
159,"44.30738,-88.39509",44.30738,-88.39509,"Appleton,WI",11/7/2022 20:00,25,na,65.6,na,18.1,na,25
160,"47.592675,-122.62739",47.592675,-122.62739,"Bremerton,WA",11/7/2022 20:00,25,na,98,na,na,na,25
161,"35.73,-81.37",35.73,-81.37,"Hickory,NC",11/7/2022 21:00,38,na,93,na,na,na,38
162,"47.22634,-122.46256",47.22634,-122.46256,"Tacoma,WA",11/7/2022 20:00,21,na,96,25.8,na,na,21
163,"19.409853333333,-98.150011111111",19.40985333,-98.15001111,"San Bernardino,CA",11/7/2022 20:00,60,3.5,48,9.7,19.5,24,60
164,"42.2917069,-85.5872286",42.2917069,-85.5872286,"Kalamazoo,MI",11/7/2022 21:00,51,na,69,na,na,na,51
165,"34.21014,-118.8705",34.21014,-118.8705,"Thousand Oaks,CA",11/7/2022 18:00,26,na,86,na,26.4,na,17
166,"37.28342,-79.88452",37.28342,-79.88452,"Roanoke,VA",11/7/2022 21:00,17,0.1,40.5,1.2,15.5,na,17
167,"46.933601,-96.854698",46.933601,-96.854698,"Fargo,ND",11/7/2022 19:00,35,na,59,6.8,9.6,na,35
168,"44.50729,-87.99344",44.50729,-87.99344,"Green Bay,WI",11/7/2022 20:00,10,na,63,na,18.1,na,10
169,"36.10638,-115.25333",36.10638,-115.25333,"Spring Valley,NV",5/18/2021 5:00,23,0.1,28.7,6.3,9,19,23
170,"34.42775,-119.69091",34.42775,-119.69091,"Santa Barbara,CA",11/7/2022 18:00,34,na,33,na,17.6,6,34
171,"29.566111111111,-82.266111111111",29.56611111,-82.26611111,"Gainesville,FL",11/7/2022 20:00,22,na,61,na,11.4,na,22
